graph,coef,lb95,ub95,interaction,interactionss,ene,avg,iden1,iden2,iden3,policy_1,policy_2,order_1,order_2
local_fines,.4427224,-.1164576,1.001902,0,0,84484,1.189361,covid_1,alcohol,m5,local_fines,,6,
local_fines,.4469496,-.1220036,1.015903,0,0,84484,1.189361,covid_1,mobility,m5,local_fines,,6,
local_fines,.4324863,-.1363901,1.001363,0,0,84484,1.189361,covid_1,masks,m5,local_fines,,6,
local_fines,.4547098,-.1511486,1.060568,0,0,84484,1.189361,covid_1,fines,m5,local_fines,,6,
local_fines,.4513441,-.1052642,1.007952,0,0,84484,1.189361,covid_1,public places,m5,local_fines,,6,
local_fines,.4572778,-.0997636,1.014319,0,0,84484,1.189361,covid_1,events,m5,local_fines,,6,
local_masks#local_curfew,.0351154,-.3024442,.3726749,1,0,84484,1.189361,covid_1,public places,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.031395,-.3034194,.3662094,1,0,84484,1.189361,covid_1,masks,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0354839,-.3019716,.3729393,1,0,84484,1.189361,covid_1,checkpoints,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0352972,-.3019931,.3725874,1,0,84484,1.189361,covid_1,mobility,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0317562,-.3058117,.369324,1,0,84484,1.189361,covid_1,events,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0355055,-.3020005,.3730116,1,0,84484,1.189361,covid_1,fines,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0344302,-.3029597,.3718201,1,0,84484,1.189361,covid_1,businesses,m5,local_masks,local_curfew,7,4
local_masks#local_curfew,.0346076,-.3028002,.3720154,1,0,84484,1.189361,covid_1,alcohol,m5,local_masks,local_curfew,7,4
local_masks#local_fines,.4003424,.143187,.6574977,1,1,84484,1.189361,covid_1,public places,m5,local_masks,local_fines,7,6
local_masks#local_fines,.4024776,.1542613,.650694,1,1,84484,1.189361,covid_1,mobility,m5,local_masks,local_fines,7,6
local_masks#local_fines,.39997,.145927,.6540129,1,1,84484,1.189361,covid_1,alcohol,m5,local_masks,local_fines,7,6
local_masks#local_fines,.3997109,.1459247,.653497,1,1,84484,1.189361,covid_1,businesses,m5,local_masks,local_fines,7,6
local_masks#local_fines,.3966555,.1412231,.6520879000000001,1,1,84484,1.189361,covid_1,events,m5,local_masks,local_fines,7,6
local_masks#local_fines,.3992882,.1424893,.656087,1,1,84484,1.189361,covid_1,masks,m5,local_masks,local_fines,7,6
