graph,coef,lb95,ub95,ene,avg,iden1,iden2,iden3,order
lasso interactions local fines,-.7904808,-2.487364,.906402,84484,.9719203,covid_1_pc,fines,m5_14,6
lasso interactions local masks,.014436,-.0618264,.0906983,84484,.9719203,covid_1_pc,masks,m5_14,7
lasso interactions local mobility,-.0212875,-.0956099,.053035,84484,.9719203,covid_1_pc,mobility,m5_14,8
lasso interactions local public places,-.161256,-.2726157,-.0498962,84484,.9719203,covid_1_pc,public places,m5_14,9
lasso interactions inflow alcohol,.034186,-.0313988,.0997708,84484,1.199242,covid_1_pc,alcohol,m5_21,1
lasso interactions inflow businesses,.0679085,-.0135789,.1493959,84484,1.199242,covid_1_pc,businesses,m5_21,2
lasso interactions inflow checkpoints,.0919399,.013865,.1700147,84484,1.199242,covid_1_pc,checkpoints,m5_21,3
lasso interactions inflow curfew,.0268272,-.1095511,.1632056,84484,1.199242,covid_1_pc,curfew,m5_21,4
lasso interactions inflow events,.0458056,-.0495778,.1411891,84484,1.199242,covid_1_pc,events,m5_21,5
lasso interactions inflow fines,.0740404,-.0383196,.1864004,84484,1.199242,covid_1_pc,fines,m5_21,6
lasso interactions inflow masks,.0214576,-.0633049,.1062202,84484,1.199242,covid_1_pc,masks,m5_21,7
lasso interactions inflow mobility,.0565211,-.0005712,.1136135,84484,1.199242,covid_1_pc,mobility,m5_21,8
lasso interactions inflow public places,.0493,-.0105543,.1091543,84484,1.199242,covid_1_pc,public places,m5_21,9
lasso interactions local alcohol,.0628931,-.0827978,.208584,84484,1.199242,covid_1_pc,alcohol,m5_21,1
lasso interactions local businesses,.2627953,.063137,.4624537,84484,1.199242,covid_1_pc,businesses,m5_21,2
lasso interactions local checkpoints,-.0787273,-.2082395,.0507848,84484,1.199242,covid_1_pc,checkpoints,m5_21,3
lasso interactions local curfew,-.0580983,-.2350509,.1188544,84484,1.199242,covid_1_pc,curfew,m5_21,4
lasso interactions local events,.1328298,-2.320662,2.586321,84484,1.199242,covid_1_pc,events,m5_21,5
lasso interactions local fines,-.8469001,-2.588666,.8948654,84484,1.199242,covid_1_pc,fines,m5_21,6
