,parameter,newspaper,title,date,search_,type_newspaper
227,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176841, S&amp;P 500 cierra en pico de 10 semanas por esperanza sobre vacuna para Covid-19 y promesa de estímulos, 2020-05-18T15:54:53,                          capitalcoahuila.com.mx-?p=176841, wordpress
228,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176835, Ecuador reactiva sector minero en medio de preocupación comunidades por mayor contagio coronavirus, 2020-05-18T15:24:57,                          capitalcoahuila.com.mx-?p=176835, wordpress
229,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176821, Oro retrocede desde máximos más de siete años ante mayor apetito por riesgo, 2020-05-18T14:09:53,                          capitalcoahuila.com.mx-?p=176821, wordpress
230,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176817, Estados de EEUU presionan por reaperturas potencial vacuna contra coronavirus impulsa a mercados, 2020-05-18T13:39:54,                          capitalcoahuila.com.mx-?p=176817, wordpress
231,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176793, Bolsas globales y el petróleo suben por salida de confinamientos y esperanzas en vacuna, 2020-05-18T12:09:56,                          capitalcoahuila.com.mx-?p=176793, wordpress
232,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176767, Capital de India reabre transporte público con restricciones en alivio a medidas coronavirus, 2020-05-18T10:39:59,                          capitalcoahuila.com.mx-?p=176767, wordpress
233,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176759, Clubes de la Premier League volverán a entrenar el martes, 2020-05-18T10:10:00,                          capitalcoahuila.com.mx-?p=176759, wordpress
234,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176751, Una España vulnerable enfrenta un impacto del virus peor del previsto: banco central, 2020-05-18T10:09:55,                          capitalcoahuila.com.mx-?p=176751, wordpress
235,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176743, Gobierno México inicia reapertura de algunos sectores pese a que coronavirus no remite, 2020-05-18T09:24:55,                          capitalcoahuila.com.mx-?p=176743, wordpress
236,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176735, Industria automotriz de EEUU vuelve a operar tras cierre por coronavirus, 2020-05-18T09:09:54,                          capitalcoahuila.com.mx-?p=176735, wordpress
