parameter,newspaper,title,date,date_policy,search_,type_newspaper
protocolo seguridad coronavirus, https://amqueretaro.com/?p=787225, Lanzan iniciativa ‘Mi Tienda Segura’ para ayudar a pequeños comercios, 2020-05-12T18:40:47,,                          amqueretaro.com-?p=787225, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=786637, COVID-19 en la línea de combate, 2020-05-11T05:00:33,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=786573, Aplica IMSS plasma convaleciente a enfermos de virus, 2020-05-10T18:16:51,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=786341, Calles de Querétaro lucen vacías ante contingencia, 2020-05-09T05:00:06,,                          amqueretaro.com-?p=786341, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=786259, Se suspenden los transplantes para evitar riesgo de contagios, 2020-05-08T17:16:06,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=785542, Se adapta el CRUM a los tiempos del Coronavirus, 2020-05-06T05:00:09,,                          amqueretaro.com-?p=785542, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=785391, Para enfrentar la crisis es importante remarcar actividades esenciales y no esenciales, 2020-05-05T10:02:32,,                          amqueretaro.com-?p=785391, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=785242, Juzgado de Epigmenio González exclusivo para detenidos con COVID-19, 2020-05-04T15:51:04,,                          amqueretaro.com-?p=785242, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=783480, Uso de la fuerza habilitado en caso de requerirse, 2020-04-27T05:00:58,,                          amqueretaro.com-?p=783480, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=783097, Por coronavirus ya inició la Fase 4 en Nuevo León, 2020-04-24T16:11:50,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=780787, Incapacidad por maternidad en el IMSS conoce cómo pedirla por internet, 2020-04-20T05:16:41,,, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=780692, Van a cuarentena funcionarios de la FGR por contacto con contagiado, 2020-04-15T10:20:04,,                          amqueretaro.com-?p=780692, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=780688, Coronavirus sobrevive a temperaturas de 60 grados Celsius, 2020-04-15T10:01:27,,                          amqueretaro.com-?p=780688, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=780527, Airbnb suspende servicio en México por coronavirus, 2020-04-14T15:15:33,,, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=779569, CMIC se suma al llamado de un Pacto Nacional frente al COVID-19, 2020-04-09T11:53:18,,                          amqueretaro.com-?p=779569, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=779495, Funerarias en Querétaro se preparan ante el coronavirus, 2020-04-09T05:00:30,,                          amqueretaro.com-?p=779495, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=779403, Aprueban Programa de Apoyo Temporal para 350 ciudadanos, 2020-04-08T16:33:39,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=779328, Ronaldinho deja cárcel; cumplirá arresto domiciliario, 2020-04-08T07:13:37,,                          amqueretaro.com-?p=779328, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=778434, IPN contribuye con ciencia y tecnología para frenar el COVID-19, 2020-04-03T15:16:33,,                          amqueretaro.com-?p=778434, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=778325, Hospital Santa Rosa de Viterbo excelencia en emergencias médicas, 2020-04-03T05:00:39,,                          amqueretaro.com-?p=778325, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=777777, Liverpool y Suburbia cierran todas sus tiendas en el país, 2020-03-31T13:31:58,,                          amqueretaro.com-?p=777777, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=777642, Francisco Domínguez Servién da positivo a la prueba de coronavirus, 2020-03-30T19:05:37,,                          amqueretaro.com-?p=777642, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=777266, El Marqués realiza operativo de inspección por coronavirus, 2020-03-28T13:50:19,,                          amqueretaro.com-?p=777266, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=777210, CMIC pide programas de recuperación ante contingencia sanitaria, 2020-03-28T03:13:13,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=777020, Cierran la Cámara de Diputados luego de confirmarse dos casos de coronavirus, 2020-03-27T03:37:44,,                          amqueretaro.com-?p=777020, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=776833, El Colegio de Ingenieros pide solidaridad con los trabajadores, 2020-03-26T04:17:36,,                          amqueretaro.com-?p=776833, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=776828, Como medida de prevención revisan a migrantes que cruzan por Querétaro, 2020-03-26T04:12:14,,                          amqueretaro.com-?p=776828, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=776589, El Albergue Yimpathí continúa en operación, 2020-03-25T03:43:26,,                          amqueretaro.com-?p=776589, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=776542, Cinépolis anuncia el cierre de todos sus cines en México, 2020-03-24T14:43:22,,                          amqueretaro.com-?p=776542, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=776310, Gobernador anuncia apoyos para el sector agropecuario queretano, 2020-03-23T05:00:38,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=775596, Capacitan a &#8216;Médicos en tu calle&#8217; contra el coronavirus, 2020-03-18T03:48:32,,                          amqueretaro.com-?p=775596, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=775508, Guarderías del IMSS acatan normas de seguridad por COVID-19, 2020-03-17T13:03:54,,                          amqueretaro.com-?p=775508, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=775119, SEP determina adelantar vacaciones de Semana Santa, 2020-03-14T23:26:49,,                          amqueretaro.com-?p=775119, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=775081, La SEP presenta medidas de prevención para sector educativo ante coronavirus, 2020-03-14T18:18:55,,                          amqueretaro.com-?p=775081, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=775079, Municipios queretanos suspenden eventos masivos, 2020-03-14T16:07:01,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=774583, Confirman casos de coronavirus en Nuevo León y Durango, 2020-03-11T18:58:12,,                          amqueretaro.com-?p=774583, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=773187, Instalarán dispensadores con gel antiviral en la entidad, 2020-03-03T00:34:20,,                          amqueretaro.com-?p=773187, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=773013, Autoridades federales alertan sobre desaparición de 2 mil niños, 2020-03-02T00:51:47,,                          amqueretaro.com-?p=773013, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=772872, Querétaro sin casos confirmados ni sospechosos por COVID-19, 2020-02-29T23:48:15,,                          amqueretaro.com-?p=772872, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=772860, Gobernador confirma que aún no hay casos de coronavirus en Querétaro, 2020-02-29T22:55:32,,                          amqueretaro.com-?p=772860, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=772652, Revive la jornada de este viernes en el país tras la llegada del coronavirus, 2020-02-28T20:27:25,,                          amqueretaro.com-?p=772652, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=770236, Advierte PAN negligencia en el AICM por la falta de medidas para detección de coronavirus, 2020-02-16T12:38:24,,                          amqueretaro.com-?p=770236, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=768410, &#8216;Bollo&#8217; Rodríguez el chef queretano que deleita el paladar asiático, 2020-02-05T22:09:03,,                          amqueretaro.com-?p=768410, wordpress
