,parameter,newspaper,title,date,date_policy,search_,type_newspaper
49,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=470231, Pandemia del Covid-19 podría retrasar el desarrollo humano: ONU, 2020-05-20T15:04:57,,                          lajornadasanluis.com.mx-?p=470231, wordpress
50,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=470146, Miles de estudiantes vuelven a la escuela en Corea del Sur, 2020-05-20T08:23:42,,                          lajornadasanluis.com.mx-?p=470146, wordpress
51,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=469501, Prolonga India confinamiento hasta fines de mayo, 2020-05-17T10:51:37,,                          lajornadasanluis.com.mx-?p=469501, wordpress
52,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=469097, Nada qué temer por regreso a clases: López Obrador, 2020-05-15T09:43:36,,                          lajornadasanluis.com.mx-?p=469097, wordpress
53,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=469078, El gobierno ha cumplido compromisos con el magisterio: AMLO, 2020-05-15T09:12:42,,                          lajornadasanluis.com.mx-?p=469078, wordpress
54,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=468857, Se acabó la incertidumbre; la reactivación es una buena señal, 2020-05-14T06:00:27,,                          lajornadasanluis.com.mx-?p=468857, wordpress
55,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=468156, Gran Bretaña anuncia leve relajamiento de restricciones, 2020-05-10T15:43:18,,                          lajornadasanluis.com.mx-?p=468156, wordpress
56,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=468071, Francia y España viven últimas horas del confinamiento por pandemia, 2020-05-10T09:50:04,,                          lajornadasanluis.com.mx-?p=468071, wordpress
57,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=467966, Con dudas y miedo países europeos inician desconfinamiento, 2020-05-09T11:48:51,,                          lajornadasanluis.com.mx-?p=467966, wordpress
58,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=467773, China reabre cines museos y otros lugares de ocio, 2020-05-08T09:52:04,,                          lajornadasanluis.com.mx-?p=467773, wordpress
59,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=467542, Predicción: que el 8 de mayo sea el peor día de contagios del Covid-19, 2020-05-07T03:00:30,,                          lajornadasanluis.com.mx-?p=467542, wordpress
60,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=467296, Brasil: Maranhao primera ciudad en cuarentena por Covid-19, 2020-05-05T20:09:27,,                          lajornadasanluis.com.mx-?p=467296, wordpress
61,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=466700, Frente al Covid-19 estamos dando “la lucha de nuestras vidas”: OMS, 2020-05-03T13:26:57,,                          lajornadasanluis.com.mx-?p=466700, wordpress
62,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=466619, Tras superar al Covid-19 Boris Johnson dice que pondrá de pie a GB, 2020-05-03T09:30:04,,                          lajornadasanluis.com.mx-?p=466619, wordpress
63,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=466390, Escuelas de NY permanecerán cerradas el resto del ciclo escolar, 2020-05-01T14:40:26,,                          lajornadasanluis.com.mx-?p=466390, wordpress
64,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=466343, Varios países inician desconfinamiento pero ninguno abre fronteras, 2020-05-01T12:01:28,,                          lajornadasanluis.com.mx-?p=466343, wordpress
65,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=466274, “Normalidad diferente” al final de Jornada de Sana Distancia: López-Gatell, 2020-04-30T20:59:31,,                          lajornadasanluis.com.mx-?p=466274, wordpress
66,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=465349, Mirarnos a los ojos, 2020-04-27T11:30:55,,                          lajornadasanluis.com.mx-?p=465349, wordpress
67,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=465314, Con cubrebocas y miedo alumnos vuelven a clases en China, 2020-04-27T08:04:14,,                          lajornadasanluis.com.mx-?p=465314, wordpress
68,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=465204, Se prevé reinicio de actividades en estado de NY para el 15 de mayo, 2020-04-26T14:56:34,,                          lajornadasanluis.com.mx-?p=465204, wordpress
69,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=464447, Covid-19 primer efecto del cambio climático: ambientalistas, 2020-04-22T18:15:40,,                          lajornadasanluis.com.mx-?p=464447, wordpress
70,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=463866, Comercios de Dinamarca empiezan a reabrir, 2020-04-20T10:27:16,,                          lajornadasanluis.com.mx-?p=463866, wordpress
71,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=463447, Trump anuncia programa de ayuda por 19 mil mdd para agricultores de EU, 2020-04-17T19:19:36,,                          lajornadasanluis.com.mx-?p=463447, wordpress
